HP:0000001	{'id': 'HP:0000001', 'label': 'All'}
HP:0100611	{'id': 'HP:0100611', 'label': 'Multiple glomerular cysts'}
HP:0100820	{'id': 'HP:0100820', 'label': 'Glomerulopathy'}
HP:0000097	{'id': 'HP:0000097', 'label': 'Focal segmental glomerulosclerosis'}
HP:0004737	{'id': 'HP:0004737', 'label': 'Global glomerulosclerosis'}
HP:0033495	{'id': 'HP:0033495', 'label': 'Segmental glomerulosclerosis'}
HP:0001519	{'id': 'HP:0001519', 'label': 'Disproportionate tall stature'}
HP:0001533	{'id': 'HP:0001533', 'label': 'Slender build'}
HP:0001548	{'id': 'HP:0001548', 'label': 'Overgrowth'}
HP:0003517	{'id': 'HP:0003517', 'label': 'Birth length greater than 97th percentile'}
HP:0011407	{'id': 'HP:0011407', 'label': 'Proportionate tall stature'}
HP:0000793	{'id': 'HP:0000793', 'label': 'Membranoproliferative glomerulonephritis'}
HP:0008653	{'id': 'HP:0008653', 'label': 'Crescentic glomerulonephritis'}
HP:0012578	{'id': 'HP:0012578', 'label': 'Membranous nephropathy'}
HP:0012579	{'id': 'HP:0012579', 'label': 'Minimal change glomerulonephritis'}
HP:0000100	{'id': 'HP:0000100', 'label': 'Nephrotic syndrome'}
HP:0008677	{'id': 'HP:0008677', 'label': 'Congenital nephrotic syndrome'}
HP:0008695	{'id': 'HP:0008695', 'label': 'Transient nephrotic syndrome'}
HP:0012588	{'id': 'HP:0012588', 'label': 'Steroid-resistant nephrotic syndrome'}
HP:0012589	{'id': 'HP:0012589', 'label': 'Multidrug-resistant nephrotic syndrome'}
HP:0000103	{'id': 'HP:0000103', 'label': 'Polyuria'}
HP:0000104	{'id': 'HP:0000104', 'label': 'Renal agenesis'}
HP:0000122	{'id': 'HP:0000122', 'label': 'Unilateral renal agenesis'}
HP:0010958	{'id': 'HP:0010958', 'label': 'Bilateral renal agenesis'}
HP:0000105	{'id': 'HP:0000105', 'label': 'Enlarged kidney'}
HP:0000107	{'id': 'HP:0000107', 'label': 'Renal cyst'}
HP:0000108	{'id': 'HP:0000108', 'label': 'Renal corticomedullary cysts'}
HP:0000113	{'id': 'HP:0000113', 'label': 'Polycystic kidney dysplasia'}
HP:0000800	{'id': 'HP:0000800', 'label': 'Cystic renal dysplasia'}
HP:0000803	{'id': 'HP:0000803', 'label': 'Renal cortical cysts'}
HP:0005562	{'id': 'HP:0005562', 'label': 'Multiple renal cysts'}
HP:0008659	{'id': 'HP:0008659', 'label': 'Multiple small medullary renal cysts'}
HP:0012581	{'id': 'HP:0012581', 'label': 'Simple renal cyst'}
HP:0032963	{'id': 'HP:0032963', 'label': 'Complex renal cyst'}
HP:0100877	{'id': 'HP:0100877', 'label': 'Renal diverticulum'}
HP:0000110	{'id': 'HP:0000110', 'label': 'Renal dysplasia'}
HP:0008718	{'id': 'HP:0008718', 'label': 'Unilateral renal dysplasia'}
HP:0012582	{'id': 'HP:0012582', 'label': 'Bilateral renal dysplasia'}
HP:0000112	{'id': 'HP:0000112', 'label': 'Nephropathy'}
HP:0000114	{'id': 'HP:0000114', 'label': 'Proximal tubulopathy'}
HP:0005574	{'id': 'HP:0005574', 'label': 'Non-acidotic proximal tubulopathy'}
HP:0012573	{'id': 'HP:0012573', 'label': 'Global proximal tubulopathy'}
HP:0000117	{'id': 'HP:0000117', 'label': 'Renal phosphate wasting'}
HP:0000119	{'id': 'HP:0000119', 'label': 'Abnormality of the genitourinary system'}
HP:0000152	{'id': 'HP:0000152', 'label': 'Abnormality of head or neck'}
HP:0000478	{'id': 'HP:0000478', 'label': 'Abnormality of the eye'}
HP:0000598	{'id': 'HP:0000598', 'label': 'Abnormality of the ear'}
HP:0000707	{'id': 'HP:0000707', 'label': 'Abnormality of the nervous system'}
HP:0000769	{'id': 'HP:0000769', 'label': 'Abnormality of the breast'}
HP:0000818	{'id': 'HP:0000818', 'label': 'Abnormality of the endocrine system'}
HP:0001197	{'id': 'HP:0001197', 'label': 'Abnormality of prenatal development or birth'}
HP:0001507	{'id': 'HP:0001507', 'label': 'Growth abnormality'}
HP:0001574	{'id': 'HP:0001574', 'label': 'Abnormality of the integument'}
HP:0001608	{'id': 'HP:0001608', 'label': 'Abnormality of the voice'}
HP:0001626	{'id': 'HP:0001626', 'label': 'Abnormality of the cardiovascular system'}
HP:0001871	{'id': 'HP:0001871', 'label': 'Abnormality of blood and blood-forming tissues'}
HP:0001939	{'id': 'HP:0001939', 'label': 'Abnormality of metabolism/homeostasis'}
HP:0002086	{'id': 'HP:0002086', 'label': 'Abnormality of the respiratory system'}
HP:0002664	{'id': 'HP:0002664', 'label': 'Neoplasm'}
HP:0002715	{'id': 'HP:0002715', 'label': 'Abnormality of the immune system'}
HP:0025031	{'id': 'HP:0025031', 'label': 'Abnormality of the digestive system'}
HP:0025142	{'id': 'HP:0025142', 'label': 'Constitutional symptom'}
HP:0025354	{'id': 'HP:0025354', 'label': 'Abnormal cellular phenotype'}
HP:0033127	{'id': 'HP:0033127', 'label': 'Abnormality of the musculoskeletal system'}
HP:0040064	{'id': 'HP:0040064', 'label': 'Abnormality of limbs'}
HP:0045027	{'id': 'HP:0045027', 'label': 'Abnormality of the thoracic cavity'}
HP:0007379	{'id': 'HP:0007379', 'label': 'Neoplasm of the genitourinary tract'}
HP:0012620	{'id': 'HP:0012620', 'label': 'Cloacal abnormality'}
HP:0100589	{'id': 'HP:0100589', 'label': 'Urogenital fistula'}
HP:0000121	{'id': 'HP:0000121', 'label': 'Nephrocalcinosis'}
HP:0008327	{'id': 'HP:0008327', 'label': 'Microscopic nephrocalcinosis'}
HP:0012408	{'id': 'HP:0012408', 'label': 'Medullary nephrocalcinosis'}
HP:0012409	{'id': 'HP:0012409', 'label': 'Cortical nephrocalcinosis'}
HP:0000123	{'id': 'HP:0000123', 'label': 'Nephritis'}
HP:0012330	{'id': 'HP:0012330', 'label': 'Pyelonephritis'}
HP:0012784	{'id': 'HP:0012784', 'label': 'Perinephritis'}
HP:0000124	{'id': 'HP:0000124', 'label': 'Renal tubular dysfunction'}
HP:0001947	{'id': 'HP:0001947', 'label': 'Renal tubular acidosis'}
HP:0008272	{'id': 'HP:0008272', 'label': 'Renal tubular lysine transport defect'}
HP:0008666	{'id': 'HP:0008666', 'label': 'Impaired histidine renal tubular absorption'}
HP:0000126	{'id': 'HP:0000126', 'label': 'Hydronephrosis'}
HP:0000127	{'id': 'HP:0000127', 'label': 'Renal salt wasting'}
